Sentence	Source	Additional rationale for open license	Sentence Quality Assurance Feedback (optional) O = satisfactory sentence, X = unsatisfactory sentence
最近試完	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
結果現在全家死掉了	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
當作心靈寄托的工具	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
萬事問網友	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
跟我的剩餘生命	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
鼓勵我現在要挑戰的事情	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
全家這個被點名了	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
哎唷	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
我都是選全家說	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
突然更新了，嚇一跳	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
這個新聞描述的情景	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
其實這一個提議	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
不是一個非常好的提議	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
你自己一個人	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
一個月的口罩	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
都送給外國了	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
你自己可能	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
成為受到感染的破口	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
所以我覺得	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
這樣子的提議	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
並不是一個很好的提議	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
最高指揮官	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
在考慮事情的時候	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
要更全面的思考問題	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
我是最高行政指揮官	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
眼界看了來得更寬一點	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
會比留言的這個人	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
獲得的資訊量	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
會更多一點	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
比一般小老百姓	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
我的決策	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
當然就會更嚴謹	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
更小心一些	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
這一個新聞標題	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
新聞內容編寫的主角	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
不是一個很好的處理方法	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
事情的利弊得失	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
都沒有講清楚	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
裡面只有兩個資訊	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
一個是推特上的留言	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
另外一個是唐鳳的回答	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
說收到了	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
然後什麼都沒有	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
這種雞毛蒜皮的概念	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
操作成好像很偉大的事情	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
不知優還是劣	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
看到這種工作模式	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
新聞媒體工作者	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
人類社會運作	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
最糟糕的一種方法	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
現在用的簽到表開源	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
公開在這邊	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
如何甩鍋	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
自己的資安	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
突然更新了	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
嚇一跳	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
其實這一個提議不好	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
把口罩都送給外國	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
然後你可能就會成為破口	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
所以我覺得這提議並不好	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
要全面思考	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
身為工程師	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
偶爾就是要來一下	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
為了別人打錯一個字	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
追蹤問題三天	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
雖然疫情好像越來越母湯	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
但是我們聚會	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
還是會繼續辦下去	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
定期聚會還是繼續喔	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
就在明天晚上七點半	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
已經超前部署社交距離了	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
有沒有人有興趣	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
流動民主的工具	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
這裡有些參考資源	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
很希望可以用來實驗一下	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
正常人的世界	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
講話都要美化	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
這波疫情告一段落	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
中國的經濟情勢嚴重下滑	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
全世界都發現到	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
世界工廠中國	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
各國沒有自主生產線	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
沒有能力保護自己	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
在香港	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
這是在罵人嗎	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
不建議如此發言	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
該文不符合社群行為守則	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
你轉貼到公開頻道	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
你的貼文用字	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
有攻擊性	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
有針對明確的人	moztw/cc0-sentences https://github.com/moztw/cc0-sentences/pull/31/files#diff-7d5d91980665a7504aa093233ff75a3e25efefe6abb6dd5f816e690d4b16854c	Retrived from g0v-tw.slack.com #rand0m, licensed under CC0.	O
